Coordenada_genetica;Gen;Enfermedad_asociada;Significancia_clinica
Chr17:78081420;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078393;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083793 - 78083794;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78087017;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086771;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091448;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083734 - 78087175;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082476 - 78087185;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086693 - 78086701;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78087050;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082344 - 78082348;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092559;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084606;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086834;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082204;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078427;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091394;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091497;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081428;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092614;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079655;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086775;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083736;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081461;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081417;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081676;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078523;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082201;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086425;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082099;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082174;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082138;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082382;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090773;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082192;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084574;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078481;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082603;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086727;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087073;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084621;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078631;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092574;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086679;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078938;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086763;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084579;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086449;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086428;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082186;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78087130;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084516;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082132;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078625;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085807;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092562;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084831;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078637;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086422;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081518;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086518;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092054;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092544;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082352;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083763;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086440;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081531;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081664;GAA;Enfermedad de Pompe;Likely benign
Chr17:78091491;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084833;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081351;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78084588;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083847;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082405;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78086468 - 78086469;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091974;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092477;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092593;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078833;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079672;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78084817 - 78084818;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081514;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086727;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092108;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082576;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092151;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079567;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086402;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086729;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091456;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084527;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084525;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78079687;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084782;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078590;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086830;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081658;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083823;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082533;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082511;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78091650 - 78092187;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78084789;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081367;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078440;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087033 - 78087034;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081468 - 78081492;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081599;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083848;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087098;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081493;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078661;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78083843;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092477;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078872;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079632;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091553;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078402;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082530;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091450;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091982 - 78092166;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078341 - 78093140;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078899;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081596;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078732;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084773;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78079569;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78091998;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079644;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079626;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084813;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082315;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081388;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085905;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078594;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079687;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086420;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78087132;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078888;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084626;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082527 - 78082528;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086681;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081545;GAA;Enfermedad de Pompe;Benign
Chr17:78081616;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086737 - 78086738;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078528 - 78081583;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086691;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78086736;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082476 - 78090749;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78084508 - 78084522;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78087140;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078403;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082180;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082628;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086502;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78085787;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082162 - 78082163;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092460 - 78092461;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078865 - 78078866;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086750;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078452;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78078755;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082346;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081640;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78083833;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78081664;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087081;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086424;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078461;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078403;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086782;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081408;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078428;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090904 - 78090905;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092015;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078614;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091525;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090757;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087158;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082326;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078494;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084722 - 78084735;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092467;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78087155;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078694;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086504;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081460;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082365;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090908;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092606;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078635;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78081521;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092025;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082336;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086733;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090798;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082412;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082488;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078462;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084819;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078671;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087116;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091448;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78079650;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078608;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083789;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082499;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078837;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090805;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17|17:78090814;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078389;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081693;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78085814;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086764;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78091433 - 78091434;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081371 - 78081372;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091987;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087166;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078936;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082376;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78078353;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092426;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78078626;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78092094;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086557 - 78086580;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083746 - 78083747;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092606;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084584;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081379;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081526 - 78081527;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087111 - 78087112;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078761;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78081430 - 78081431;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092551;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090813;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086719;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78081526 - 78081527;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086434 - 78086435;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081459;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082181;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084640;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78083855;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78082311;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78087150;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78090897;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086560 - 78086583;GAA;Enfermedad de Pompe;Likely benign
Chr17:78090876;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78092432;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78093129;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085855;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078440;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78084640;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78078918;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082629;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092511;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078822;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78081417 - 78081418;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078737;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78079695;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78092450 - 78092452;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78093123;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78079631 - 78079642;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78093124;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082517;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078763 - 78078764;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086842;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082543 - 78082545;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090891;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78093082 - 78093090;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087021;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78091474;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082592 - 78082593;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78087023 - 78087040;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78093130;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086895;GAA;Enfermedad de Pompe;Benign
Chr17:78086393;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078637;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086418;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078831 - 78078832;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082341;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078842 - 78078847;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083849;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78082287;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092549;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092445;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086406;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082581;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086479;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078775 - 78078776;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092126 - 78092127;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078806;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082122;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78086727;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78087132 - 78087133;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086826;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78085920;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081429 - 78081430;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78092562;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084738;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082495;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78086789;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78078341 - 78093150;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081336 - 78087185;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78078341 - 78079713;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078778;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078421;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082546;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78092556;GAA;Enfermedad de Pompe;Likely benign
Chr17:78092460;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086700;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078601;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78092446;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085888;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087031;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083813;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086782;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082533;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78087026;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083774;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078504;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78090800;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092566;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078917;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083760;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078476 - 78078478;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078704;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090807;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78079698;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78093104;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082115;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081526 - 78081527;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081450;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086498;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092563;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083826;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085895;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078727;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78079664;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084524;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78078732;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086734;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082616 - 78082618;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090784;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78085872;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092537;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078609;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085835;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78083873;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087000;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084832;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081443;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093091;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081535;GAA;Enfermedad de Pompe;Likely benign
Chr17:78087076;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082510;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086811;GAA;Enfermedad de Pompe;Likely benign
Chr17:78082228;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081536;GAA;Enfermedad de Pompe;Likely benign
Chr17:78085770;GAA;Enfermedad de Pompe;Likely benign
Chr17:78079574;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084534;GAA;Enfermedad de Pompe;Benign/Likely benign
Chr17:78082358;GAA;Enfermedad de Pompe;Likely benign
Chr17:78078493;GAA;Enfermedad de Pompe;Likely benign
Chr17:78083874;GAA;Enfermedad de Pompe;Likely benign
Chr17:78081529 - 78081531;GAA;Enfermedad de Pompe;Likely benign
Chr17:78084817;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78081425;GAA;Enfermedad de Pompe;Likely benign
Chr17:78093056 - 78093057;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78079710;GAA;Enfermedad de Pompe;Benign/Likely benign
Chr17:78086494;GAA;Enfermedad de Pompe;Likely benign
Chr17:78086843;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78092623;GAA;Enfermedad de Pompe;Benign/Likely benign
Chr17:78084726;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086424;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78082589;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082363;GAA;Enfermedad de Pompe;Pathogenic
Chr17:78082295;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78078390;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086379;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078597;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78092050;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081646;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78086471;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78086482;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78078402;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078930;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78090813;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082574;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78085806;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078695;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78084781;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78081457;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078682;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78081608;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078845;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78083792;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78092033;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78082625;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078459;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78078939;GAA;Enfermedad de Pompe;Conflicting interpretations of pathogenicity
Chr17:78082341;GAA;Enfermedad de Pompe;Pathogenic/Likely pathogenic
Chr17:78082339;GAA;Enfermedad de Pompe;Likely pathogenic
Chr17:78091475;GAA;Enfermedad de Pompe;Uncertain significance
Chr17:78081523;GAA;Enfermedad de Pompe;Likely pathogenic
